id,name,iso3,phone_code,capital,currency_name,continent_id,subcontinent_id,nationality,latitude,longitude
1,Afghanistan,AFG,93,Kabul,Afghan afghani,3,14,Afghan,33.0,65.0
2,Aland Islands,ALA,+358-18,Mariehamn,Euro,4,18,Aland Island,60.116667,19.9
3,Albania,ALB,355,Tirana,Albanian lek,4,16,Albanian ,41.0,20.0
4,Algeria,DZA,213,Algiers,Algerian dinar,1,1,Algerian,28.0,3.0
5,American Samoa,ASM,+1-684,Pago Pago,US Dollar,5,22,American Samoan,-14.33333333,-170.0
6,Andorra,AND,376,Andorra la Vella,Euro,4,16,Andorran,42.5,1.5
7,Angola,AGO,244,Luanda,Angolan kwanza,1,2,Angolan,-12.5,18.5
8,Anguilla,AIA,+1-264,The Valley,East Caribbean dollar,2,7,Anguillan,18.25,-63.16666666
9,Antarctica,ATA,672,,Antarctican dollar,6,,Antarctic,-74.65,4.48
10,Antigua and Barbuda,ATG,+1-268,St. John's,Eastern Caribbean dollar,2,7,Antiguan or Barbudan,17.05,-61.8
11,Argentina,ARG,54,Buenos Aires,Argentine peso,2,8,Argentine,-34.0,-64.0
12,Armenia,ARM,374,Yerevan,Armenian dram,3,11,Armenian,40.0,45.0
13,Aruba,ABW,297,Oranjestad,Aruban florin,2,7,Aruban,12.5,-69.96666666
14,Australia,AUS,61,Canberra,Australian dollar,5,19,Australian,-27.0,133.0
15,Austria,AUT,43,Vienna,Euro,4,17,Austrian,47.33333333,13.33333333
16,Azerbaijan,AZE,994,Baku,Azerbaijani manat,3,11,"Azerbaijani, Azeri",40.5,47.5
18,Bahrain,BHR,973,Manama,Bahraini dinar,3,11,Bahraini,26.0,50.55
19,Bangladesh,BGD,880,Dhaka,Bangladeshi taka,3,14,Bangladeshi,24.0,90.0
20,Barbados,BRB,+1-246,Bridgetown,Barbadian dollar,2,7,Barbadian,13.16666666,-59.53333333
21,Belarus,BLR,375,Minsk,Belarusian ruble,4,15,Belarusian,53.0,28.0
22,Belgium,BEL,32,Brussels,Euro,4,17,Belgian,50.83333333,4.0
23,Belize,BLZ,501,Belmopan,Belize dollar,2,9,Belizean,17.25,-88.75
24,Benin,BEN,229,Porto-Novo,West African CFA franc,1,3,"Beninese, Beninois",9.5,2.25
25,Bermuda,BMU,+1-441,Hamilton,Bermudian dollar,2,6,"Bermudian, Bermudan",32.33333333,-64.75
26,Bhutan,BTN,975,Thimphu,Bhutanese ngultrum,3,14,Bhutanese,27.5,90.5
27,Bolivia,BOL,591,Sucre,Bolivian boliviano,2,8,Bolivian,-17.0,-65.0
155,"Bonaire, Sint Eustatius and Saba",BES,599,Kralendijk,United States dollar,2,7,Bonaire,12.15,-68.266667
28,Bosnia and Herzegovina,BIH,387,Sarajevo,Bosnia and Herzegovina convertible mark,4,16,Bosnian or Herzegovinian,44.0,18.0
29,Botswana,BWA,267,Gaborone,Botswana pula,1,5,"Motswana, Botswanan",-22.0,24.0
30,Bouvet Island,BVT,0055,,Norwegian Krone,,,Bouvet Island,-54.43333333,3.4
31,Brazil,BRA,55,Brasilia,Brazilian real,2,8,Brazilian,-10.0,-55.0
32,British Indian Ocean Territory,IOT,246,Diego Garcia,United States dollar,1,4,BIOT,-6.0,71.5
33,Brunei,BRN,673,Bandar Seri Begawan,Brunei dollar,3,13,Bruneian,4.5,114.66666666
34,Bulgaria,BGR,359,Sofia,Bulgarian lev,4,15,Bulgarian,43.0,25.0
35,Burkina Faso,BFA,226,Ouagadougou,West African CFA franc,1,3,Burkinabe,13.0,-2.0
36,Burundi,BDI,257,Bujumbura,Burundian franc,1,4,Burundian,-3.5,30.0
37,Cambodia,KHM,855,Phnom Penh,Cambodian riel,3,13,Cambodian,13.0,105.0
38,Cameroon,CMR,237,Yaounde,Central African CFA franc,1,2,Cameroonian,6.0,12.0
39,Canada,CAN,1,Ottawa,Canadian dollar,2,6,Canadian,60.0,-95.0
40,Cape Verde,CPV,238,Praia,Cape Verdean escudo,1,3,Verdean,16.0,-24.0
41,Cayman Islands,CYM,+1-345,George Town,Cayman Islands dollar,2,7,Caymanian,19.5,-80.5
42,Central African Republic,CAF,236,Bangui,Central African CFA franc,1,2,Central African,7.0,21.0
43,Chad,TCD,235,N'Djamena,Central African CFA franc,1,2,Chadian,15.0,19.0
44,Chile,CHL,56,Santiago,Chilean peso,2,8,Chilean,-30.0,-71.0
45,China,CHN,86,Beijing,Chinese yuan,3,12,Chinese,35.0,105.0
46,Christmas Island,CXR,61,Flying Fish Cove,Australian dollar,5,19,Christmas Island,-10.5,105.66666666
47,Cocos (Keeling) Islands,CCK,61,West Island,Australian dollar,5,19,Cocos Island,-12.5,96.83333333
48,Colombia,COL,57,Bogotá,Colombian peso,2,8,Colombian,4.0,-72.0
49,Comoros,COM,269,Moroni,Comorian franc,1,4,"Comoran, Comorian",-12.16666666,44.25
50,Congo,COG,242,Brazzaville,Central African CFA franc,1,2,Congolese,-1.0,15.0
52,Cook Islands,COK,682,Avarua,Cook Islands dollar,5,22,Cook Island,-21.23333333,-159.76666666
53,Costa Rica,CRI,506,San Jose,Costa Rican colón,2,9,Costa Rican,10.0,-84.0
54,Cote D'Ivoire (Ivory Coast),CIV,225,Yamoussoukro,West African CFA franc,1,3,Ivorian,8.0,-5.0
55,Croatia,HRV,385,Zagreb,Croatian kuna,4,16,Croatian,45.16666666,15.5
56,Cuba,CUB,53,Havana,Cuban peso,2,7,Cuban,21.5,-80.0
249,Curaçao,CUW,599,Willemstad,Netherlands Antillean guilder,2,7,Curacaoan,12.116667,-68.933333
57,Cyprus,CYP,357,Nicosia,Euro,4,16,Cypriot,35.0,33.0
58,Czech Republic,CZE,420,Prague,Czech koruna,4,15,Czech,49.75,15.5
51,Democratic Republic of the Congo,COD,243,Kinshasa,Congolese Franc,1,2,Congolese,0.0,25.0
59,Denmark,DNK,45,Copenhagen,Danish krone,4,18,Danish,56.0,10.0
60,Djibouti,DJI,253,Djibouti,Djiboutian franc,1,4,Djiboutian,11.5,43.0
61,Dominica,DMA,+1-767,Roseau,Eastern Caribbean dollar,2,7,Dominican,15.41666666,-61.33333333
62,Dominican Republic,DOM,+1-809 and 1-829,Santo Domingo,Dominican peso,2,7,Dominican,19.0,-70.66666666
64,Ecuador,ECU,593,Quito,United States dollar,2,8,Ecuadorian,-2.0,-77.5
65,Egypt,EGY,20,Cairo,Egyptian pound,1,1,Egyptian,27.0,30.0
66,El Salvador,SLV,503,San Salvador,United States dollar,2,9,Salvadoran,13.83333333,-88.91666666
67,Equatorial Guinea,GNQ,240,Malabo,Central African CFA franc,1,2,"Equatorial Guinean, Equatoguinean",2.0,10.0
68,Eritrea,ERI,291,Asmara,Eritrean nakfa,1,4,Eritrean,15.0,39.0
69,Estonia,EST,372,Tallinn,Euro,4,18,Estonian,59.0,26.0
212,Eswatini,SWZ,268,Mbabane,Lilangeni,1,5,Swazi,-26.5,31.5
70,Ethiopia,ETH,251,Addis Ababa,Ethiopian birr,1,4,Ethiopian,8.0,38.0
71,Falkland Islands,FLK,500,Stanley,Falkland Islands pound,2,8,Falkland Island,-51.75,-59.0
72,Faroe Islands,FRO,298,Torshavn,Danish krone,4,18,Faroese,62.0,-7.0
73,Fiji Islands,FJI,679,Suva,Fijian dollar,5,20,Fijian,-18.0,175.0
74,Finland,FIN,358,Helsinki,Euro,4,18,Finnish,64.0,26.0
75,France,FRA,33,Paris,Euro,4,17,French,46.0,2.0
76,French Guiana,GUF,594,Cayenne,Euro,2,8,French Guianese,4.0,-53.0
77,French Polynesia,PYF,689,Papeete,CFP franc,5,22,French Polynesia,-15.0,-140.0
78,French Southern Territories,ATF,262,Port-aux-Francais,Euro,1,5,French Southern Territories,-49.25,69.167
79,Gabon,GAB,241,Libreville,Central African CFA franc,1,2,Gabonese,-1.0,11.75
80,Gambia The,GMB,220,Banjul,Gambian dalasi,1,3,Gambian,13.46666666,-16.56666666
81,Georgia,GEO,995,Tbilisi,Georgian lari,3,11,Georgian,42.0,43.5
82,Germany,DEU,49,Berlin,Euro,4,17,German,51.0,9.0
83,Ghana,GHA,233,Accra,Ghanaian cedi,1,3,Ghanaian,8.0,-2.0
84,Gibraltar,GIB,350,Gibraltar,Gibraltar pound,4,16,Gibraltar,36.13333333,-5.35
85,Greece,GRC,30,Athens,Euro,4,16,"Greek, Hellenic",39.0,22.0
86,Greenland,GRL,299,Nuuk,Danish krone,2,6,Greenlandic,72.0,-40.0
87,Grenada,GRD,+1-473,St. George's,Eastern Caribbean dollar,2,7,Grenadian,12.11666666,-61.66666666
88,Guadeloupe,GLP,590,Basse-Terre,Euro,2,7,Guadeloupe,16.25,-61.583333
89,Guam,GUM,+1-671,Hagatna,US Dollar,5,21,"Guamanian, Guambat",13.46666666,144.78333333
90,Guatemala,GTM,502,Guatemala City,Guatemalan quetzal,2,9,Guatemalan,15.5,-90.25
91,Guernsey and Alderney,GGY,+44-1481,St Peter Port,British pound,4,18,Channel Island,49.46666666,-2.58333333
92,Guinea,GIN,224,Conakry,Guinean franc,1,3,Guinean,11.0,-10.0
93,Guinea-Bissau,GNB,245,Bissau,West African CFA franc,1,3,Bissau-Guinean,12.0,-15.0
94,Guyana,GUY,592,Georgetown,Guyanese dollar,2,8,Guyanese,5.0,-59.0
95,Haiti,HTI,509,Port-au-Prince,Haitian gourde,2,7,Haitian,19.0,-72.41666666
96,Heard Island and McDonald Islands,HMD,672,,Australian dollar,,,Heard Island or McDonald Islands,-53.1,72.51666666
97,Honduras,HND,504,Tegucigalpa,Honduran lempira,2,9,Honduran,15.0,-86.5
98,Hong Kong S.A.R.,HKG,852,Hong Kong,Hong Kong dollar,3,12,"Hong Kong, Hong Kongese",22.25,114.16666666
99,Hungary,HUN,36,Budapest,Hungarian forint,4,15,"Hungarian, Magyar",47.0,20.0
100,Iceland,ISL,354,Reykjavik,Icelandic króna,4,18,Icelandic,65.0,-18.0
101,India,IND,91,New Delhi,Indian rupee,3,14,Indian,20.0,77.0
102,Indonesia,IDN,62,Jakarta,Indonesian rupiah,3,13,Indonesian,-5.0,120.0
103,Iran,IRN,98,Tehran,Iranian rial,3,14,"Iranian, Persian",32.0,53.0
